geofips,state,year,rpp_all_items,rpp_goods,rpp_housing,rpp_other_services,rpp_all_items_rank
00000,United States,2008,100.0,99.5,100.424,100.306,
00000,United States,2009,100.0,99.453,100.455,100.302,
00000,United States,2010,100.0,99.542,100.391,100.259,
00000,United States,2011,100.0,99.535,100.399,100.266,
00000,United States,2012,100.0,99.566,100.366,100.248,
00000,United States,2013,100.0,99.573,100.37,100.245,
00000,United States,2014,100.0,99.586,100.386,100.238,
00000,United States,2015,100.0,99.583,100.419,100.221,
00000,United States,2016,100.0,99.583,100.389,100.219,
00000,United States,2017,100.0,99.563,100.43,100.218,
00000,United States,2018,100.0,99.542,100.422,100.241,
00000,United States,2019,100.0,99.573,100.398,100.217,
00000,United States,2020,100.0,99.541,100.615,100.183,
00000,United States,2021,100.0,99.568,100.595,100.182,
00000,United States,2022,100.0,99.542,100.594,100.207,
00000,United States,2023,100.0,99.542,100.574,100.186,
00000,United States,2024,100.0,99.567,100.629,100.147,
01000,Alabama,2008,88.901,95.966,59.88,97.757,44
01000,Alabama,2009,87.786,93.986,60.148,96.689,47
01000,Alabama,2010,89.783,96.407,61.501,98.43,46
01000,Alabama,2011,90.011,95.951,60.854,99.76,45
01000,Alabama,2012,90.559,95.208,62.321,100.783,47
01000,Alabama,2013,90.324,96.222,61.409,99.949,47
01000,Alabama,2014,90.175,96.253,59.913,99.939,47
01000,Alabama,2015,89.741,95.222,59.246,100.041,47
01000,Alabama,2016,90.609,96.055,60.511,100.582,46
01000,Alabama,2017,90.065,95.483,61.118,98.995,43
01000,Alabama,2018,87.378,92.476,59.641,95.933,49
01000,Alabama,2019,88.303,94.601,60.277,96.859,49
01000,Alabama,2020,87.569,94.353,59.582,96.477,49
01000,Alabama,2021,88.062,93.928,60.596,96.148,50
01000,Alabama,2022,88.021,94.668,57.502,97.131,48
01000,Alabama,2023,89.097,94.606,61.601,98.178,44
01000,Alabama,2024,88.823,96.399,61.785,96.711,45
02000,Alaska,2008,103.878,105.924,105.956,102.853,11
02000,Alaska,2009,106.147,105.722,119.666,103.42,8
02000,Alaska,2010,103.099,104.009,113.679,99.919,11
02000,Alaska,2011,103.274,103.451,109.994,101.223,12
02000,Alaska,2012,102.548,101.501,116.474,99.53,11
02000,Alaska,2013,102.052,100.142,114.823,99.551,13
02000,Alaska,2014,102.386,99.883,116.652,100.17,12
02000,Alaska,2015,103.287,104.376,114.548,99.812,12
02000,Alaska,2016,104.073,107.412,108.72,100.713,11
02000,Alaska,2017,104.833,107.706,109.38,101.755,11
02000,Alaska,2018,104.565,103.212,104.763,104.399,10
02000,Alaska,2019,103.041,100.529,101.303,103.886,12
02000,Alaska,2020,101.339,101.531,89.699,103.822,15
02000,Alaska,2021,104.907,109.142,103.366,102.606,9
02000,Alaska,2022,102.101,105.589,96.585,101.401,15
02000,Alaska,2023,103.297,103.697,96.736,104.417,13
02000,Alaska,2024,102.359,106.319,93.784,102.208,14
04000,Arizona,2008,102.504,102.954,103.316,102.292,15
04000,Arizona,2009,102.865,106.401,99.867,102.1,14
04000,Arizona,2010,100.558,100.075,96.898,102.121,18
04000,Arizona,2011,99.083,98.959,94.775,100.535,22
04000,Arizona,2012,98.05,98.261,95.176,98.828,22
04000,Arizona,2013,98.441,97.602,93.617,100.928,22
04000,Arizona,2014,97.944,97.741,92.74,99.873,22
04000,Arizona,2015,97.865,98.517,93.772,98.67,23
04000,Arizona,2016,98.622,97.834,92.448,101.545,18
04000,Arizona,2017,97.915,97.225,93.527,99.881,23
04000,Arizona,2018,97.381,95.865,94.255,99.392,24
04000,Arizona,2019,97.779,96.004,93.582,100.848,24
04000,Arizona,2020,99.203,100.076,97.944,99.676,19
04000,Arizona,2021,96.6,95.069,102.346,96.409,23
04000,Arizona,2022,99.992,98.094,106.244,100.099,20
04000,Arizona,2023,100.742,97.941,108.561,101.173,17
04000,Arizona,2024,100.677,95.361,106.804,102.808,17
05000,Arkansas,2008,88.096,95.942,58.671,97.122,46
05000,Arkansas,2009,86.364,93.774,57.419,95.845,49
05000,Arkansas,2010,88.561,96.639,59.83,97.368,50
05000,Arkansas,2011,89.383,96.001,61.012,98.897,48
05000,Arkansas,2012,89.394,94.457,60.322,100.078,49
05000,Arkansas,2013,89.493,95.382,59.938,99.773,50
05000,Arkansas,2014,89.395,94.764,60.244,99.863,49
05000,Arkansas,2015,89.013,93.983,59.372,99.54,49
05000,Arkansas,2016,89.298,94.932,59.309,99.539,49
05000,Arkansas,2017,88.561,94.536,57.639,98.14,49
05000,Arkansas,2018,87.144,93.073,56.16,97.886,50
05000,Arkansas,2019,87.744,94.774,56.808,97.245,50
05000,Arkansas,2020,88.165,94.34,56.872,99.408,48
05000,Arkansas,2021,88.902,95.623,59.435,97.176,49
05000,Arkansas,2022,86.913,93.127,55.671,95.95,51
05000,Arkansas,2023,86.81,93.103,56.737,95.701,50
05000,Arkansas,2024,86.937,93.597,58.203,95.312,51
06000,California,2008,111.22,107.413,161.361,101.932,3
06000,California,2009,110.696,104.687,160.404,101.998,6
06000,California,2010,109.703,103.023,158.028,101.665,3
06000,California,2011,109.503,103.597,157.145,101.604,4
06000,California,2012,109.666,104.095,156.194,101.945,2
06000,California,2013,109.667,104.288,155.709,101.796,4
06000,California,2014,109.926,104.339,157.935,101.899,3
06000,California,2015,110.685,105.536,158.044,102.75,3
06000,California,2016,109.956,104.385,160.083,101.909,3
06000,California,2017,110.998,104.466,162.521,103.26,1
06000,California,2018,111.882,105.508,163.834,104.265,1
06000,California,2019,111.134,106.179,164.636,102.444,3
06000,California,2020,111.944,106.661,166.329,101.934,2
06000,California,2021,111.918,108.144,164.99,102.11,2
