year,annual_avg_index,inflation_rate_pct,boston_minus_national_pct
2000,183.6,4.32,0.96
2001,191.5,4.3,1.45
2002,196.5,2.61,1.03
2003,203.9,3.77,1.49
2004,209.5,2.75,0.09
2005,216.4,3.29,-0.1
2006,223.1,3.1,-0.13
2007,227.409,1.93,-0.92
2008,235.37,3.5,-0.34
2009,233.778,-0.68,-0.32
2010,237.446,1.57,-0.07
2011,243.881,2.71,-0.45
2012,247.733,1.58,-0.49
2013,251.139,1.37,-0.09
2014,255.184,1.61,-0.01
2015,256.715,0.6,0.48
2016,260.496,1.47,0.21
2017,267.033,2.51,0.38
2018,275.815,3.29,0.85
2019,281.082,1.91,0.1
2020,284.266,1.13,-0.1
2021,293.521,3.26,-1.44
2022,314.356,7.1,-0.9
2023,326.016,3.71,-0.41
2024,336.376,3.18,0.23
2025,346.889,3.13,0.5
