FISCAL YEAR,MONTH,AVERAGE PROCESSING (ELAPSED) TIME (IN DAYS)
2008,OCTOBER,106
2008,NOVEMBER,106
2008,DECEMBER,107
2008,JANUARY,112
2008,FEBRUARY,112
2008,MARCH,110
2008,APRIL,106
2008,MAY,103
2008,JUNE,103
2008,JULY,102
2008,AUGUST,101
2008,SEPTEMBER,100
2008,AVERAGE,106
2009,OCTOBER,96
2009,NOVEMBER,97
2009,DECEMBER,98
2009,JANUARY,102
2009,FEBRUARY,103
2009,MARCH,102
2009,APRIL,99
2009,MAY,99
2009,JUNE,101
2009,JULY,102
2009,AUGUST,104
2009,SEPTEMBER,106
2009,AVERAGE,101
2010,OCTOBER,106
2010,NOVEMBER,107
2010,DECEMBER,110
2010,JANUARY,116
2010,FEBRUARY,116
2010,MARCH,115
2010,APRIL,113
2010,MAY,111
2010,JUNE,110
2010,JULY,110
2010,AUGUST,110
2010,SEPTEMBER,110
2010,AVERAGE,111
2011,OCTOBER,110
2011,NOVEMBER,110
2011,DECEMBER,112
2011,JANUARY,114
2011,FEBRUARY,116
2011,MARCH,115
2011,APRIL,112
2011,MAY,108
2011,JUNE,106
2011,JULY,105
2011,AUGUST,104
2011,SEPTEMBER,103
2011,AVERAGE,110
2012,OCTOBER,103
2012,NOVEMBER,102
2012,DECEMBER,104
2012,JANUARY,106
2012,FEBRUARY,105
2012,MARCH,103
2012,APRIL,101
2012,MAY,100
2012,JUNE,100
2012,JULY,101
2012,AUGUST,100
2012,SEPTEMBER,100
2012,AVERAGE,102
2013,OCTOBER,100
2013,NOVEMBER,102
2013,DECEMBER,106
2013,JANUARY,111
2013,FEBRUARY,111
2013,MARCH,111
2013,APRIL,109
2013,MAY,107
2013,JUNE,107
2013,JULY,109
2013,AUGUST,108
2013,SEPTEMBER,109
2013,AVERAGE,108
2014,OCTOBER,107
2014,NOVEMBER,107
2014,DECEMBER,109
2014,JANUARY,114
2014,FEBRUARY,115
2014,MARCH,114
2014,APRIL,111
2014,MAY,108
2014,JUNE,107
2014,JULY,108
2014,AUGUST,108
2014,SEPTEMBER,109
2014,AVERAGE,110
2015,OCTOBER,110
2015,NOVEMBER,110
2015,DECEMBER,114
2015,JANUARY,118
2015,FEBRUARY,119
2015,MARCH,119
2015,APRIL,116
2015,MAY,114
2015,JUNE,113
2015,JULY,112
2015,AUGUST,112
2015,SEPTEMBER,112
2015,AVERAGE,114
