Fiscal Year,Month,Average Processing (elapsed) Time (in Days)
FY - 2016,Oct,111
FY - 2016,Nov,110
FY - 2016,Dec,111
FY - 2016,Jan,114
FY - 2016,Feb,114
FY - 2016,Mar,112
FY - 2016,Apr,109
FY - 2016,May,108
FY - 2016,Jun,108
FY - 2016,Jul,108
FY - 2016,Aug,108
FY - 2016,Sep,108
FY - 2016 Total Average,,110
FY - 2017,Oct,107
FY - 2017,Nov,109
FY - 2017,Dec,112
FY - 2017,Jan,115
FY - 2017,Feb,114
FY - 2017,Mar,113
FY - 2017,Apr,111
FY - 2017,May,109
FY - 2017,Jun,110
FY - 2017,Jul,110
FY - 2017,Aug,109
FY - 2017,Sep,107
FY - 2017 Total Average,,111
FY - 2018,Oct,107
FY - 2018,Nov,107
FY - 2018,Dec,109
FY - 2018,Jan,114
FY - 2018,Feb,115
FY - 2018,Mar,114
FY - 2018,Apr,112
FY - 2018,May,110
FY - 2018,Jun,111
FY - 2018,Jul,112
FY - 2018,Aug,112
FY - 2018,Sep,113
FY - 2018 Total Average,,111
FY - 2019,Oct,114
FY - 2019,Nov,117
FY - 2019,Dec,120
FY - 2019,Jan,125
FY - 2019,Feb,125
FY - 2019,Mar,124
FY - 2019,Apr,122
FY - 2019,May,118
FY - 2019,Jun,118
FY - 2019,Jul,120
FY - 2019,Aug,120
FY - 2019,Sep,119
FY - 2019 Total Average,,120
FY - 2020,Oct,119
FY - 2020,Nov,121
FY - 2020,Dec,125
FY - 2020,Jan,131
FY - 2020,Feb,133
FY - 2020,Mar,132
FY - 2020,Apr,130
FY - 2020,May,121
FY - 2020,Jun,118
FY - 2020,Jul,130
FY - 2020,Aug,142
FY - 2020,Sep,164
FY - 2020 Total Average,,131
FY - 2021,Oct,167
FY - 2021,Nov,165
FY - 2021,Dec,165
FY - 2021,Jan,165
FY - 2021,Feb,167
FY - 2021,Mar,166
FY - 2021,Apr,164
FY - 2021,May,162
FY - 2021,Jun,163
FY - 2021,Jul,164
FY - 2021,Aug,165
FY - 2021,Sep,164
FY - 2021 Total Average,,165
FY - 2022,Oct,167
FY - 2022,Nov,168
FY - 2022,Dec,171
FY - 2022,Jan,177
FY - 2022,Feb,182
FY - 2022,Mar,183
FY - 2022,Apr,187
FY - 2022,May,189
FY - 2022,Jun,192
FY - 2022,Jul,196
FY - 2022,Aug,198
FY - 2022,Sep,199
FY - 2022 Total Average,,184
FY - 2023,Oct,203
FY - 2023,Nov,204
FY - 2023,Dec,210
FY - 2023,Jan,218
FY - 2023,Feb,220
FY - 2023,Mar,222
FY - 2023,Apr,223
FY - 2023,May,221
FY - 2023,Jun,222
FY - 2023,Jul,221
FY - 2023,Aug,220
FY - 2023,Sep,221
FY - 2023 Total Average,,217
FY - 2024,Oct,223
FY - 2024,Nov,225
FY - 2024,Dec,228
FY - 2024,Jan,231
FY - 2024,Feb,233
FY - 2024,Mar,232
FY - 2024,Apr,232
FY - 2024,May,233
FY - 2024,Jun,237
FY - 2024,Jul,236
FY - 2024,Aug,231
FY - 2024,Sep,229
FY - 2024 Total Average,,231
FY - 2025,Oct,227
FY - 2025,Nov,228
FY - 2025,Dec,231
FY - 2025,Jan,240
FY - 2025,Feb,236
FY - 2025,Mar,231
FY - 2025,Apr,229
FY - 2025,May,226
FY - 2025,Jun,221
FY - 2025,Jul,220
FY - 2025,Aug,217
FY - 2025,Sep,209
FY - 2025 Total Average,,226
FY - 2026,Oct,204
FY - 2026,Nov,197
FY - 2026,Dec,193
FY - 2026,Jan,194
FY - 2026,Feb,193
FY - 2026,Mar,189
FY - 2026,Apr,188
FY - 2026 Total Average,,194
