FISCAL YEAR,STATE,NET ACCURACY RATE,SAMPLING VARIABILITY (SV) PERCENT,COMMENTS
2007,ALABAMA,98.10%,1.15,
2007,ALASKA,96.40%,1.38,
2007,ARIZONA,95.80%,1.65,
2007,ARKANSAS,98.40%,1.08,
2007,CALIFORNIA,96.30%,0.88,
2007,COLORADO,96.30%,1.57,
2007,CONNECTICUT,95.00%,1.82,
2007,DELAWARE,97.60%,1.13,
2007,DIST OF COLUMBIA,97.30%,1.19,
2007,FLORIDA,96.20%,1.66,
2007,GEORGIA,95.50%,1.86,
2007,HAWAII,96.90%,1.35,
2007,IDAHO,96.90%,1.45,
2007,ILLINOIS,97.20%,1.44,
2007,INDIANA,96.40%,1.59,
2007,IOWA,96.60%,1.55,
2007,KANSAS,97.40%,1.39,
2007,KENTUCKY,97.00%,1.49,
2007,LOUISIANA,96.70%,1.51,
2007,MAINE,96.40%,1.52,
2007,MARYLAND,96.00%,1.55,
2007,MASSACHUSETTS,96.70%,1.43,
2007,MICHIGAN,94.00%,2.12,
2007,MINNESOTA,96.10%,1.62,
2007,MISSISSIPPI,98.50%,1.11,
2007,MISSOURI,98.20%,1.14,
2007,MONTANA,96.70%,1.41,
2007,NEBRASKA,96.10%,1.62,
2007,NEVADA,95.10%,1.73,
2007,NEW HAMPSHIRE,98.10%,1.08,
2007,NEW JERSEY,95.10%,1.77,
2007,NEW MEXICO,97.70%,1.23,
2007,NEW YORK,96.60%,0.76,
2007,NORTH CAROLINA,97.30%,1.43,
2007,NORTH DAKOTA,95.80%,1.48,
2007,OHIO,96.60%,1.63,
2007,OKLAHOMA,98.30%,1.06,
2007,OREGON,95.40%,1.77,
2007,PENNSYLVANIA,96.80%,1.43,
2007,PUERTO RICO,96.00%,1.59,
2007,RHODE ISLAND,95.50%,1.67,
2007,SOUTH CAROLINA,94.90%,2.06,
2007,SOUTH DAKOTA,95.00%,1.71,
2007,TENNESSEE,97.60%,1.41,
2007,TEXAS,97.60%,1.25,
2007,UTAH,96.20%,1.52,
2007,VERMONT,97.60%,1.13,
2007,VIRGINIA,95.40%,1.65,
2007,WASHINGTON,95.30%,1.75,
2007,WEST VIRGINIA,95.60%,1.78,
2007,WISCONSIN,96.40%,1.54,
2007,WYOMING,95.30%,1.49,
2007,NATIONAL,96.60%,0.27,
2008,ALABAMA,97.90%,1.26,
2008,ALASKA,96.20%,1.55,
2008,ARIZONA,96.40%,1.56,
2008,ARKANSAS,98.70%,0.95,
2008,CALIFORNIA,95.50%,1.1,
2008,COLORADO,95.40%,1.75,
2008,CONNECTICUT,93.70%,2.06,
2008,DELAWARE,97.40%,1.23,
2008,DIST OF COLUMBIA,97.90%,1.07,
2008,FLORIDA,97.50%,1.26,
2008,GEORGIA,95.40%,1.9,
2008,HAWAII,97.90%,1.09,
2008,IDAHO,96.50%,1.35,
2008,ILLINOIS,97.40%,1.32,
2008,INDIANA,97.30%,1.36,
2008,IOWA,95.40%,1.79,
2008,KANSAS,98.00%,1.18,
2008,KENTUCKY,98.40%,1.1,
2008,LOUISIANA,96.80%,1.44,
2008,MAINE,95.30%,1.71,
2008,MARYLAND,96.70%,1.48,
2008,MASSACHUSETTS,96.70%,1.45,
2008,MICHIGAN,95.20%,1.65,
2008,MINNESOTA,95.30%,1.74,
2008,MISSISSIPPI,96.90%,1.55,
2008,MISSOURI,98.00%,1.19,
2008,MONTANA,96.10%,1.52,
2008,NEBRASKA,97.30%,1.29,
2008,NEVADA,95.90%,1.64,
2008,NEW HAMPSHIRE,96.60%,1.46,
2008,NEW JERSEY,94.90%,1.69,
2008,NEW MEXICO,97.80%,1.22,
2008,NEW YORK,96.70%,0.88,
2008,NORTH CAROLINA,95.80%,1.72,
2008,NORTH DAKOTA,94.80%,1.68,
2008,OHIO,96.50%,1.62,
2008,OKLAHOMA,98.20%,1.07,
2008,OREGON,95.90%,1.72,
2008,PENNSYLVANIA,96.70%,1.49,
2008,PUERTO RICO,95.50%,1.63,
2008,RHODE ISLAND,96.80%,1.45,
2008,SOUTH CAROLINA,96.00%,1.7,
2008,SOUTH DAKOTA,95.70%,1.59,
2008,TENNESSEE,96.30%,1.68,
2008,TEXAS,97.80%,1.2,
2008,UTAH,95.60%,1.57,
2008,VERMONT,96.70%,1.36,
2008,VIRGINIA,97.00%,1.43,
2008,WASHINGTON,97.10%,1.38,
2008,WEST VIRGINIA,96.20%,1.5,
2008,WISCONSIN,97.00%,1.4,
2008,WYOMING,94.10%,1.61,
2008,NATIONAL,96.60%,0.28,
2009,ALABAMA,97.40%,1.37,
