Judge,Office,Total Dispositions,Total ALJ Dispositions Across All Offices,Decisions,Awards,Denials,Fully Favorable,Partially Favorable
"Balter, Michael N",AKRON OH,463,465,395,239,156,193,46
"Beatty, Gregory M",AKRON OH,429,429,373,184,189,161,23
"Cendrosky, Sharlee",AKRON OH,467,467,370,191,179,150,41
"Lohr, Mary",AKRON OH,458,458,387,230,157,203,27
"Panek, Jason",AKRON OH,507,507,414,189,225,166,23
"Raeber, Jeffrey",AKRON OH,57,199,46,33,13,21,12
"Schmitz, Michael F",AKRON OH,469,469,392,187,205,164,23
"Shinn, Charles",AKRON OH,589,589,512,336,175,326,10
"Ba-Yunus, Asad M.",ALBANY,434,434,360,176,184,152,24
"Black-Pennington, Dale",ALBANY,349,349,303,207,96,183,24
"Farrell, John G",ALBANY,366,366,302,253,49,239,14
"Kelly, Paul F",ALBANY,330,330,268,240,28,231,9
"LeCours, Brian",ALBANY,237,237,212,110,102,93,17
"Marcus, Michelle S",ALBANY,268,268,218,159,59,135,24
"Mulvey, Jude B",ALBANY,183,183,154,91,63,69,22
"Patane, Arthur",ALBANY,165,165,143,97,46,89,8
"Soltes, Jr., Andrew J.",ALBANY,461,461,404,244,160,160,84
"Benedict, David",ALBUQUERQUE,159,508,135,66,69,54,12
"Brown, Katherine W",ALBUQUERQUE,7,410,7,5,2,4,1
"Exnicios, Richard M",ALBUQUERQUE,127,463,110,66,44,57,9
"Fellabaum, Jennifer M",ALBUQUERQUE,304,304,222,152,70,122,30
"Fraiser, Jim",ALBUQUERQUE,3,489,0,0,0,0,0
"Freedman, Robert",ALBUQUERQUE,185,378,153,81,72,76,5
"Gontis, Stephen",ALBUQUERQUE,61,61,53,33,20,27,6
"Gutierrez, David R",ALBUQUERQUE,6,500,5,4,1,4,0
"Hansen, Dennis",ALBUQUERQUE,1,359,0,0,0,0,0
"Hansen, Holly",ALBUQUERQUE,170,519,147,93,54,71,22
"Hertzig, Michael S",ALBUQUERQUE,8,170,5,1,4,1,0
"Holmes, Janice L",ALBUQUERQUE,3,394,3,2,1,1,1
"Juge, Christopher H",ALBUQUERQUE,110,420,91,57,34,49,8
"Leppala, Michael",ALBUQUERQUE,437,437,356,181,175,131,50
"Lindsay, Michelle K",ALBUQUERQUE,272,272,210,107,103,86,21
"Simmons, D'Lisa",ALBUQUERQUE,1,530,0,0,0,0,0
"Stults, Douglas S.",ALBUQUERQUE,11,484,8,6,2,6,0
"Timmins, Talia",ALBUQUERQUE,477,477,372,175,197,143,32
"Wiedemann, Karen",ALBUQUERQUE,64,352,51,37,14,23,14
"Williams, Jr., Harry L",ALBUQUERQUE,1,250,1,0,1,0,0
"Wurm, David R",ALBUQUERQUE,13,500,12,6,6,5,1
"Able, Devona",ALEXANDRIA,375,375,312,152,160,118,34
"Daniels Smoke, Stephani",ALEXANDRIA,397,397,332,215,117,189,26
"Grant, Robert",ALEXANDRIA,489,489,394,275,119,255,20
"Molinar, Kathleen S",ALEXANDRIA,486,486,415,303,112,288,15
"Rachal, Steven M",ALEXANDRIA,439,439,351,149,202,96,53
"Ragona, Lawrence T",ALEXANDRIA,244,244,210,83,127,66,17
"Smilie, Carolyn",ALEXANDRIA,405,405,333,197,136,181,16
"Bentley, Lisa B",ATLANTA DOWNTOWN,354,354,297,141,156,97,44
"Childs, J. S",ATLANTA DOWNTOWN,358,358,291,213,78,203,10
"Crocker, Boyce",ATLANTA DOWNTOWN,1,527,1,1,0,1,0
"Dail, Grant",ATLANTA DOWNTOWN,188,445,151,92,59,70,22
"Dula, Melinda L",ATLANTA DOWNTOWN,22,119,18,10,8,8,2
"Egemonye, Ucheakpunwa",ATLANTA DOWNTOWN,431,431,369,223,146,142,81
"Flanagan, Brendan F",ATLANTA DOWNTOWN,126,126,95,21,74,10,11
"Gray, Stacy",ATLANTA DOWNTOWN,57,295,47,35,12,28,7
"Littlefield, Suzanne A",ATLANTA DOWNTOWN,224,224,190,136,54,127,9
"Lykins, Raymond M",ATLANTA DOWNTOWN,376,376,316,187,129,156,31
"McHenry, Laura G",ATLANTA DOWNTOWN,212,339,166,146,20,137,9
"McMichael, Carla",ATLANTA DOWNTOWN,231,231,194,103,91,92,11
"Messina, Christopher",ATLANTA DOWNTOWN,12,93,3,0,3,0,0
"Miller, Hilton R",ATLANTA DOWNTOWN,387,387,305,223,82,196,27
"Murray, S. Charles",ATLANTA DOWNTOWN,324,324,266,215,51,206,9
"Rodgers, Raymond",ATLANTA DOWNTOWN,2,608,2,2,0,2,0
"Bedell, Laurie",ATLANTA NORTH,383,383,329,217,112,197,20
"Callahan, William",ATLANTA NORTH,298,298,243,81,162,58,23
"Colarusso, Todd",ATLANTA NORTH,444,444,380,216,164,187,29
"Conlon, James",ATLANTA NORTH,368,368,297,157,140,137,20
"Fons, Gregory",ATLANTA NORTH,392,392,330,116,214,88,28
"Henry, Tracy",ATLANTA NORTH,4,4,4,1,3,0,1
"Lowther, Sheila",ATLANTA NORTH,5,38,4,3,1,2,1
"Narvil, Jeffrey C",ATLANTA NORTH,3,454,2,2,0,1,1
"Weaver, Cynthia G",ATLANTA NORTH,108,151,82,24,58,18,6
"Baker Jr, Robert",BALTIMORE,377,377,310,214,96,171,43
"Ball, Gary",BALTIMORE,357,357,274,187,87,151,36
"Ball, Nelisbeth",BALTIMORE,158,158,116,64,52,47,17
"Farnes, Milagros",BALTIMORE,72,72,69,56,13,49,7
"Forrest-Doyle, Mary",BALTIMORE,415,415,355,298,57,268,30
"Manico, William M",BALTIMORE,104,261,88,67,21,52,15
"Massengill, Scott",BALTIMORE,314,314,239,117,122,96,21
"Neely, Donald K",BALTIMORE,422,422,350,247,103,188,59
"Olmscheid, Melvin G",BALTIMORE,470,470,392,269,123,252,17
"Ortis, Jesus",BALTIMORE,1,5,1,0,1,0,0
"Posner, Tara J",BALTIMORE,369,369,275,165,110,121,44
"Simmonds, Clary",BALTIMORE,459,459,377,199,178,148,51
"Turner-Banks, Tamara",BALTIMORE,39,39,21,18,3,9,9
