FISCAL YEAR,PROGRAM INVOLVEMENT,TOTAL CDRS PROCESSED,MAILERS ONLY,INITIAL FIELD OFFICE FTC TERMINATIONS *,FULL MEDICAL REVIEWS (FMRS),INITIAL CESSATIONS (FMRS)
2013,I. Periodic CDRs (initiated centrally),,,,,
2013,Total Title II,"1,140,906","939,470","1,009","200,427","25,938"
2013,Title II Only,"892,703","743,341",779,"148,583","19,018"
2013,Disabled workers,"783,085","645,528",729,"136,828","17,966"
2013,Auxiliaries and survivors,"109,618","97,813",50,"11,755","1,052"
2013,Concurrent Title II and Title XVI,"248,203","196,129",230,"51,844","6,920"
2013,Disabled workers,"176,674","137,025",174,"39,475","5,431"
2013,Auxiliaries and survivors,"71,529","59,104",56,"12,369","1,489"
2013,Total Title XVI Only,"407,481","207,477","1,247","198,757","85,968"
2013,Disabled adults,"242,571","207,477",153,"34,941","4,091"
2013,Disabled children,"164,910",0,"1,094","163,816","81,877"
2013,Low birth weight,"19,540",0,241,"19,299","10,952"
2013,Age 18 redeterminations,"92,053",0,534,"91,519","48,686"
2013,Other SSI children,"53,317",0,319,"52,998","31,933"
2013,Total Title II and Title XVI (initiated centrally),"1,548,387","1,146,947","2,256","399,184","111,906"
2013,II. Other Periodic CDRs** (not initiated centrally),"16,108",0,88,"16,020","3,488"
2013,III. Administrative Closures***,"11,020",0,0,"11,020",0
2013,TOTAL,"1,575,515","1,146,947","2,344","426,224","115,394"
2014,I. Periodic CDRs (initiated centrally),,,,,
2014,Total Title II,"1,145,068","889,603","1,308","254,157","34,576"
2014,Title II Only,"937,023","744,281",985,"191,757","25,654"
2014,Disabled workers,"864,718","683,105",907,"180,706","24,426"
2014,Auxiliaries and survivors,"72,305","61,176",78,"11,051","1,228"
2014,Concurrent Title II and Title XVI,"208,045","145,322",323,"62,400","8,922"
2014,Disabled workers,"158,124","107,982",244,"49,898","7,199"
2014,Auxiliaries and survivors,"49,921","37,340",79,"12,502","1,723"
2014,Total Title XVI Only,"503,469","259,235","1,597","242,637","97,829"
2014,Disabled adults,"309,188","259,235",143,"49,810","6,258"
2014,Disabled children,"194,281",0,"1,454","192,827","91,571"
2014,Low birth weight,"18,498",0,372,"18,126","10,952"
2014,Age 18 redeterminations,"86,472",0,764,"85,708","48,686"
2014,Other SSI children,"89,311",0,318,"88,993","31,933"
2014,Total Title II and Title XVI (initiated centrally),"1,648,537","1,148,838","2,905","496,794","132,405"
2014,II. Other Periodic CDRs** (not initiated centrally),"14,108",0,136,"13,972","3,758"
2014,III. Administrative Closures***,"12,068",0,0,"12,068",0
2014,TOTAL,"1,674,713","1,148,838","3,041","522,834","136,163"
2015,I. Periodic CDRs (initiated centrally),,,,,
2015,Total Title II,"1,273,792","983,332","2,077","288,383","46,972"
2015,Title II Only,"1,019,001","803,514","1,526","213,961","33,730"
2015,Disabled workers,"916,239","712,856","1,402","201,981","32,057"
2015,Auxiliaries and survivors,"102,762","90,658",124,"11,980","1,673"
2015,Concurrent Title II and Title XVI,"254,791","179,818",551,"74,422","13,242"
2015,Disabled workers,"183,628","124,604",401,"58,623","10,523"
2015,Auxiliaries and survivors,"71,163","55,214",150,"15,799","2,719"
2015,Total Title XVI Only,"671,278","189,467","2,397","479,414","154,345"
2015,Disabled adults,"346,767","189,467",313,"156,987","24,339"
2015,Disabled children,"324,511",0,"2,084","322,427","130,006"
2015,Low birth weight,"14,768",0,447,"14,321","8,481"
2015,Age 18 redeterminations,"85,434",0,935,"84,499","48,036"
2015,Other SSI children,"224,309",0,702,"223,607","73,489"
2015,Total Title II and Title XVI (initiated centrally),"1,945,070","1,172,799","4,474","767,797","201,317"
