File Name,File Version,Update Date,Region Code,State Code,Date Type,Date,Population age 18-64*,SSA Disability Beneficiaries  age 18-64*,Percent of Adult Population Receiving SSA Adult Disability Benefits,Eligible Adult Population*,Adult Receipts,Eligible Adult Population Filing Rate,Favorable Adult Determinations,Eligible Adult Population Allowance Rate,All Adult Determinations,Adult Favorable  Determination Rate,Population under age 18*,SSI Disabled Child (DC) Beneficiaries*,Percent of Population under age 18 Receiving SSI DC Benefits,Eligible Child Population*,SSI Disabled Child (DC) Receipts,Eligible Child Population Filing Rate,Favorable SSI Child (DC) Determinations,Eligible Child Population Allowance Rate,All SSI Disabled Child Determinations,SSI Disabled Child Allowance Rate,All Determinations,All Favorable Determinations,Favorable Determination Rate
SSA-SA-FYWL.csv,2,3/13/2023,SEA,AK ,FY,2001,407208,12791,3.14,394417,3487,0.88,1573,0.4,3369,46.69,188453,970,0.51,187483,416,0.22,283,0.15,404,70.05,3773,1856,49.19
SSA-SA-FYWL.csv,2,3/13/2023,ATL,AL ,FY,2001,2760170,211792,7.67,2548378,42416,1.66,15279,0.6,39021,39.16,1118057,25307,2.26,1092750,10602,0.97,4344,0.4,10879,39.93,49900,19623,39.32
SSA-SA-FYWL.csv,2,3/13/2023,DAL,AR ,FY,2001,1636232,122081,7.46,1514151,24423,1.61,7931,0.52,24843,31.92,678719,13811,2.03,664908,6615,0.99,2281,0.34,6451,35.36,31294,10212,32.63
SSA-SA-FYWL.csv,2,3/13/2023,SFO,AZ ,FY,2001,3209672,137268,4.28,3072404,31148,1.01,14446,0.47,27934,51.71,1408285,13416,0.95,1394869,4831,0.35,2599,0.19,4563,56.96,32497,17045,52.45
SSA-SA-FYWL.csv,2,3/13/2023,SFO,CA ,FY,2001,21528766,890019,4.13,20638747,198004,0.96,83116,0.4,189867,43.78,9319305,85598,0.92,9233707,27018,0.29,14996,0.16,26280,57.06,216147,98112,45.39
SSA-SA-FYWL.csv,2,3/13/2023,DEN,CO ,FY,2001,2878695,91320,3.17,2787375,19412,0.7,6586,0.24,17689,37.23,1127131,6489,0.58,1120642,2343,0.21,1321,0.12,2349,56.24,20038,7907,39.46
SSA-SA-FYWL.csv,2,3/13/2023,BOS,CT ,FY,2001,2115946,88615,4.19,2027331,17339,0.86,8060,0.4,17955,44.89,842593,5874,0.7,836719,2344,0.28,1043,0.12,2407,43.33,20362,9103,44.71
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DC ,FY,2001,392066,19553,4.99,372513,4190,1.12,1721,0.46,3457,49.78,116000,3401,2.93,112599,1178,1.05,603,0.54,1029,58.6,4486,2324,51.81
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DE ,FY,2001,495410,22294,4.5,473116,4598,0.97,2154,0.46,4087,52.7,195715,2666,1.36,193049,989,0.51,476,0.25,873,54.52,4960,2630,53.02
SSA-SA-FYWL.csv,2,3/13/2023,ATL,FL ,FY,2001,9792187,489839,5,9302348,113158,1.22,38777,0.42,105517,36.75,3712535,69160,1.86,3643375,27504,0.75,11929,0.33,25397,46.97,130914,50706,38.73
SSA-SA-FYWL.csv,2,3/13/2023,ATL,GA ,FY,2001,5386624,264615,4.91,5122009,60785,1.19,19072,0.37,60585,31.48,2228686,28672,1.29,2200014,12649,0.57,4854,0.22,12527,38.75,73112,23926,32.73
SSA-SA-FYWL.csv,2,3/13/2023,SFO,HI ,FY,2001,763477,25573,3.35,737904,6564,0.89,3014,0.41,5808,51.89,290557,1284,0.44,289273,666,0.23,421,0.15,634,66.4,6442,3435,53.32
SSA-SA-FYWL.csv,2,3/13/2023,KCM,IA ,FY,2001,1767592,75024,4.24,1692568,15799,0.93,6234,0.37,14745,42.28,726446,5671,0.78,720775,2414,0.33,997,0.14,2266,44,17011,7231,42.51
SSA-SA-FYWL.csv,2,3/13/2023,SEA,ID ,FY,2001,799559,32828,4.11,766731,7998,1.04,2683,0.35,6840,39.23,372094,3208,0.86,368886,1211,0.33,556,0.15,1062,52.35,7902,3239,40.99
SSA-SA-FYWL.csv,2,3/13/2023,CHI,IL ,FY,2001,7764992,338361,4.36,7426631,69221,0.93,26483,0.36,66664,39.73,3242537,39007,1.2,3203530,16713,0.52,6881,0.21,16541,41.6,83205,33364,40.1
SSA-SA-FYWL.csv,2,3/13/2023,CHI,IN ,FY,2001,3791503,172447,4.55,3619056,37808,1.04,11441,0.32,33536,34.12,1576279,17195,1.09,1559084,7274,0.47,2747,0.18,6471,42.45,40007,14188,35.46
SSA-SA-FYWL.csv,2,3/13/2023,KCM,KS ,FY,2001,1636843,65398,4,1571445,15912,1.01,5100,0.32,15362,33.2,709149,6160,0.87,702989,2891,0.41,1203,0.17,2777,43.32,18139,6303,34.75
SSA-SA-FYWL.csv,2,3/13/2023,ATL,KY ,FY,2001,2566411,235803,9.19,2330608,43560,1.87,12620,0.54,42450,29.73,992758,23567,2.37,969191,8347,0.86,3769,0.39,8054,46.8,50504,16389,32.45
SSA-SA-FYWL.csv,2,3/13/2023,DAL,LA ,FY,2001,2741824,186128,6.79,2555696,38844,1.52,13837,0.54,39056,35.43,1200237,27591,2.3,1172646,13451,1.15,4185,0.36,13608,30.75,52664,18022,34.22
SSA-SA-FYWL.csv,2,3/13/2023,BOS,MA ,FY,2001,4042734,216137,5.35,3826597,38787,1.01,16889,0.44,37687,44.81,1504624,15677,1.04,1488947,5847,0.39,2891,0.19,5887,49.11,43574,19780,45.39
SSA-SA-FYWL.csv,2,3/13/2023,PHL,MD ,FY,2001,3401308,123248,3.62,3278060,28732,0.88,10544,0.32,27325,38.59,1364487,13739,1.01,1350748,5021,0.37,2251,0.17,4829,46.61,32154,12795,39.79
